date,expiry,tenor,split,sigma_mkt,sig_pay_s1,sig_rec_s1,sig_str_s1,fwd_bias_s1,path_frac
2012-11-30,5,10,train,27.5,305.3,295.0,300.1,9.2,1.0
2012-11-30,10,1,train,23.7,299.9,129.7,214.8,214.8,1.0
2012-11-30,10,5,train,22.6,228.7,215.4,222.1,16.8,1.0
2012-11-30,10,10,train,24.0,186.8,141.4,164.1,57.3,1.0
2012-12-31,1,1,train,130.3,744.3,632.7,688.5,44.5,1.0
2012-12-31,1,5,train,56.6,661.2,1313.2,987.2,-260.1,1.0
2012-12-31,1,10,train,37.7,603.3,830.5,716.9,-90.6,1.0
2012-12-31,5,1,train,42.9,446.4,251.3,348.9,174.1,1.0
2012-12-31,5,5,train,31.3,366.5,616.2,491.3,-222.8,1.0
2012-12-31,5,10,train,27.9,320.2,243.8,282.0,68.2,1.0
2012-12-31,10,1,train,24.2,289.9,153.6,221.8,172.0,1.0
2012-12-31,10,5,train,23.1,226.4,306.5,266.5,-101.0,1.0
2012-12-31,10,10,train,24.3,197.8,105.9,151.9,116.0,1.0
2013-01-31,1,1,train,72.4,733.7,644.3,689.0,35.7,1.0
2013-01-31,1,5,train,44.9,565.9,1915.4,1240.7,-538.4,1.0
2013-01-31,1,10,train,32.1,583.1,839.4,711.2,-102.3,1.0
2013-01-31,5,1,train,37.2,454.4,189.2,321.8,236.6,1.0
2013-01-31,5,5,train,28.1,365.0,397.0,381.0,-28.5,1.0
2013-01-31,5,10,train,25.7,301.2,252.7,276.9,43.3,1.0
2013-01-31,10,1,train,23.1,289.2,113.9,201.6,221.1,1.0
2013-01-31,10,5,train,22.2,229.7,223.8,226.8,7.4,1.0
2013-01-31,10,10,train,23.1,179.6,172.2,175.9,9.3,1.0
2013-02-28,1,1,train,114.3,765.4,665.9,715.7,39.7,1.0
2013-02-28,1,5,train,51.8,593.5,1604.1,1098.8,-403.2,1.0
2013-02-28,1,10,train,35.9,585.7,796.8,691.3,-84.2,1.0
2013-02-28,5,1,train,39.5,465.9,205.7,335.8,232.1,1.0
2013-02-28,5,5,train,29.1,374.7,509.5,442.1,-120.3,1.0
2013-02-28,5,10,train,26.3,311.1,283.4,297.2,24.8,1.0
2013-02-28,10,1,train,23.5,293.8,104.4,199.1,238.9,1.0
2013-02-28,10,5,train,21.9,235.2,211.2,223.2,30.3,1.0
2013-02-28,10,10,train,22.9,190.9,166.6,178.7,30.7,1.0
2013-03-29,1,1,train,94.2,731.3,657.5,694.4,29.4,1.0
2013-03-29,1,5,train,51.2,629.9,2114.1,1372.0,-592.1,1.0
2013-03-29,1,10,train,36.3,579.0,762.9,670.9,-73.4,1.0
2013-03-29,5,1,train,43.2,446.9,198.8,322.8,221.3,1.0
2013-03-29,5,5,train,31.2,365.0,313.3,339.1,46.1,1.0
2013-03-29,5,10,train,27.7,298.9,250.4,274.6,43.3,1.0
2013-03-29,10,1,train,24.8,286.2,128.3,207.3,199.1,1.0
2013-03-29,10,5,train,23.0,230.5,373.2,301.8,-180.0,1.0
2013-03-29,10,10,train,23.8,189.4,234.4,211.9,-56.7,1.0
2013-04-30,1,1,train,103.9,740.2,614.5,677.4,50.1,1.0
2013-04-30,1,5,train,52.9,641.1,1538.7,1089.9,-358.1,1.0
2013-04-30,1,10,train,36.9,601.1,884.5,742.8,-113.1,1.0
2013-04-30,5,1,train,47.0,465.0,175.9,320.5,257.8,1.0
2013-04-30,5,5,train,33.1,367.2,464.1,415.7,-86.4,1.0
2013-04-30,5,10,train,29.0,319.7,205.1,262.4,102.2,1.0
2013-04-30,10,1,train,25.8,299.2,121.1,210.2,224.8,1.0
2013-04-30,10,5,train,24.0,235.5,294.5,265.0,-74.4,1.0
2013-04-30,10,10,train,25.0,187.6,151.2,169.4,46.0,1.0
2013-05-31,1,1,train,107.4,760.7,592.7,676.7,67.0,1.0
2013-05-31,1,5,train,51.7,617.9,1865.5,1241.7,-497.7,1.0
2013-05-31,1,10,train,35.5,569.3,815.4,692.3,-98.2,1.0
2013-05-31,5,1,train,40.8,453.0,224.9,339.0,203.5,1.0
2013-05-31,5,5,train,30.6,370.2,401.7,385.9,-28.1,1.0
2013-05-31,5,10,train,27.2,305.6,208.2,256.9,86.9,1.0
2013-05-31,10,1,train,23.6,289.4,153.0,221.2,172.1,1.0
2013-05-31,10,5,train,22.5,225.7,376.9,301.3,-190.7,1.0
2013-05-31,10,10,train,23.4,186.7,167.1,176.9,24.7,1.0
2013-06-28,1,1,train,93.2,698.5,701.1,699.8,-1.0,1.0
2013-06-28,1,5,train,50.4,589.5,1515.1,1052.3,-369.2,1.0
2013-06-28,1,10,train,33.5,514.1,943.7,728.9,-171.4,1.0
2013-06-28,5,1,train,37.3,470.2,200.0,335.1,241.0,1.0
2013-06-28,5,5,train,28.6,343.1,547.8,445.4,-182.6,1.0
2013-06-28,5,10,train,25.8,301.2,233.7,267.4,60.2,1.0
2013-06-28,10,1,train,24.1,293.3,140.4,216.8,192.9,1.0
2013-06-28,10,5,train,22.4,225.5,225.5,225.5,0.0,1.0
2013-06-28,10,10,train,23.2,185.0,133.6,159.3,64.9,1.0
2013-07-31,1,1,train,84.1,727.3,659.8,693.5,27.0,1.0
2013-07-31,1,5,train,47.0,598.9,1528.0,1063.4,-370.6,1.0
2013-07-31,1,10,train,32.8,575.0,867.5,721.3,-116.7,1.0
2013-07-31,5,1,train,38.1,450.9,209.2,330.0,215.6,1.0
2013-07-31,5,5,train,28.9,358.2,432.9,395.5,-66.7,1.0
2013-07-31,5,10,train,26.3,292.9,232.2,262.6,54.1,1.0
2013-07-31,10,1,train,24.1,290.3,134.7,212.5,196.3,1.0
2013-07-31,10,5,train,22.5,225.1,214.5,219.8,13.4,1.0
