expiry,tenor,forward_swap_0,annuity_0,strike,payer_price,receiver_price,mc_price,mc_stderr,mc_std,forward_bias,implied_vol,implied_vol_bps,valid_paths,total_paths,mean_annuity_expiry,mean_swap_rate_expiry,mean_discount_to_expiry,success,structure,date,pricing_date
1,10,0.011784229801695748,9.556063016914727,0.011784229801695748,0.2332676385374286,0.268897834379725,0.2510827364585768,0.004901774708137035,,-0.0037285434157590925,0.06586091838917063,658.6091838917063,4932,10000,9.681894705215973,0.03183073579191199,0.9766601997178946,True,1x10,2015-12-31,2015-12-31
5,1,0.012752335989506576,0.9704795945155611,0.012752335989506576,0.0386459540921305,0.012657203014223644,0.02565157855317707,0.00039516500049742003,,0.026779286473179054,0.02963006606008418,296.3006606008418,4822,10000,0.949478870108938,0.058356083206555054,0.8147061310936368,True,5x1,2015-12-31,2015-12-31
5,5,0.01635223637951596,4.696025879809687,0.01635223637951596,0.15043821896199633,0.08895741981995584,0.11969781939097608,0.0026244381125018514,,0.013092091209798037,0.028573318950090448,285.7331895009045,4822,10000,4.410649174672724,0.055535860146556884,0.8147061310936368,True,5x5,2015-12-31,2015-12-31
5,10,0.018779609861397276,8.954047804585214,0.018779609861397276,0.2511738000710937,0.16346957478818855,0.20732168742964113,0.004007965430765493,,0.009794924842593906,0.025955551329910845,259.55551329910844,4822,10000,8.07976440424717,0.060743489768895875,0.8147061310936368,True,5x10,2015-12-31,2015-12-31
10,1,0.020032120329863536,0.8882709995953882,0.020032120329863536,0.031536895846874934,0.012507798959336304,0.02202234740310562,0.0005892853375191431,,0.02142262541072091,0.01965205903600334,196.5205903600334,4624,10000,0.9366505922616857,0.07251209456151675,0.6690785675741481,True,10x1,2015-12-31,2015-12-31
10,5,0.021456676558624134,4.258021924775528,0.021456676558624134,0.12313342180280096,0.07697969111720672,0.10005655646000383,0.002671312983429288,,0.01083924214129718,0.01862634286662559,186.26342866625592,4624,10000,4.237148622755073,0.0689139442621153,0.6690785675741481,True,10x5,2015-12-31,2015-12-31
10,10,0.022241298543472905,8.063316356574969,0.022241298543472905,0.20729466820488002,0.14949780981910366,0.17839623901199184,0.00482129160564644,,0.0071678768176629696,0.017537267610489786,175.37267610489786,4624,10000,7.582512986001192,0.0723137363735159,0.6690785675741481,True,10x10,2015-12-31,2015-12-31
1,1,0.0003145572097346989,1.0013412059738647,0.0003145572097346989,0.032089668882129246,0.023972993083828314,0.028031330982978782,0.0012031944178915593,,0.00810580424522426,0.07017001437500867,701.7001437500867,4907,10000,0.9899180712004053,0.020392217232530083,0.977283030494751,True,1x1,2015-11-30,2015-11-30
1,5,0.00484785131415059,4.964313601439365,0.00484785131415059,0.1347353762604441,0.1608243026390532,0.14777983944974865,0.0036082899081402325,,-0.005255293777380384,0.07461839716930183,746.1839716930183,4907,10000,4.96036675584238,0.019232372706495863,0.977283030494751,True,1x5,2015-11-30,2015-11-30
1,10,0.010339211197315434,9.634763902451805,0.010339211197315434,0.23773796034757547,0.26673613310409394,0.2522370467258347,0.004914353818167728,,-0.003009743990627437,0.06562324927043646,656.2324927043646,4907,10000,9.733134823442304,0.03137072196864068,0.977283030494751,True,1x10,2015-11-30,2015-11-30
5,1,0.011118915170488785,0.9775899308530147,0.011118915170488785,0.039473453213845724,0.015144284458043706,0.027308868835944716,0.0008105366745462373,,0.024886885582560303,0.03131496451107524,313.1496451107524,4820,10000,0.9521496726360005,0.05751551802850405,0.8150049611167108,True,5x1,2015-11-30,2015-11-30
5,5,0.014690313236751974,4.745999905619568,0.014690313236751974,0.15483780574540304,0.09419311369271616,0.1245154597190596,0.0028556111977627824,,0.012778064319150045,0.029410369654862874,294.10369654862876,4820,10000,4.436121107389914,0.055181763457033246,0.8150049611167108,True,5x5,2015-11-30,2015-11-30
