date,expiry,tenor,split,sigma_mkt,sigma_adj,sigma_atm,forward_bias_bp,F0,F_model,n_surv
2022-08-31,1,5,test,60.699999999999996,1163.1072670020496,495.763645116155,-435.44783365550893,0.023305483162403107,-0.020239300203147785,0.57763671875
2022-08-31,1,10,test,50.699999999999996,720.0176541973826,548.4800900791901,-133.7703209854239,0.023874621838331223,0.010497589739788834,0.5498046875
2022-08-31,5,1,test,50.6,321.6855490073115,377.6082132434034,98.39758888260378,0.01869933120906353,0.02853909009732391,0.54541015625
2022-08-31,5,5,test,41.1,427.79246844218585,296.2371679149654,-238.89379156129104,0.023305483162403107,-0.0005838959937259983,0.52783203125
2022-08-31,5,10,test,36.2,279.998746336044,289.251015224349,18.31505276208508,0.023874621838331223,0.02570612711453973,0.51806640625
2022-08-31,10,1,test,34.1,193.6724557106389,228.3781421497853,105.22341497355193,0.01869933120906353,0.029221672706418723,0.51904296875
2022-08-31,10,5,test,34.1,226.46693404254444,194.24011274044366,-99.01313024808796,0.023305483162403107,0.013404170137594311,0.5068359375
2022-08-31,10,10,test,35.8,167.2739341377178,174.52746929922398,26.204357843840135,0.023874621838331223,0.026495057622715236,0.47705078125
2022-09-30,1,1,test,51.1,699.2878962972499,526.3411944054669,-138.373679084359,0.024870488792657852,0.011033120884221951,0.65673828125
2022-09-30,1,5,test,53.1,1232.2903197921166,429.61726281558816,-515.8917948465044,0.030339254066348076,-0.021249925418302354,0.5986328125
2022-09-30,1,10,test,49.3,701.7506445268714,502.79984922055064,-149.34450161361963,0.030090084299445152,0.01515563413808319,0.5791015625
2022-09-30,5,1,test,43.7,312.7665989965376,344.86414664927247,56.97132113066737,0.024870488792657852,0.03056762090572459,0.55029296875
2022-09-30,5,5,test,39.199999999999996,411.67130561666437,267.0453471519936,-253.27365847952316,0.030339254066348076,0.005011888218395759,0.5390625
2022-09-30,5,10,test,36.5,304.96118931748885,269.4196981557996,-71.23058522177755,0.030090084299445152,0.0229670257772674,0.521484375
2022-09-30,10,1,test,33.6,193.32054119246317,211.47763791813347,55.73803103270575,0.024870488792657852,0.030444291895928427,0.521484375
2022-09-30,10,5,test,34.3,234.9148928439882,181.28290173083684,-163.48946092961728,0.030339254066348076,0.013990307973386348,0.50732421875
2022-09-30,10,10,test,37.9,175.78551651492288,170.07337156842985,-18.65490910525975,0.030090084299445152,0.028224593388919177,0.498046875
2022-10-31,1,1,test,42.7,683.9061618691906,493.9633139685599,-155.95391218341558,0.026150256395339966,0.010554865176998407,0.64794921875
2022-10-31,1,5,test,46.9,1207.434886625557,395.99530337810387,-532.8819367582977,0.02995799295604229,-0.023330200719787475,0.587890625
2022-10-31,1,10,test,46.49999999999999,718.1494985187428,512.1837579220052,-158.8365795288256,0.029907356947660446,0.014023698994777886,0.5869140625
2022-10-31,5,1,test,42.3,302.2654877742662,332.4286448706934,54.04274493524881,0.026150256395339966,0.03155453088886485,0.5439453125
2022-10-31,5,5,test,37.7,345.2215133090928,277.57040319401983,-115.9215185522365,0.02995799295604229,0.01836584110081864,0.53759765625
2022-10-31,5,10,test,35.3,292.91146406644924,262.77106854089374,-59.891707294711594,0.029907356947660446,0.023918186218189287,0.52197265625
2022-10-31,10,1,test,31.6,204.34226020648586,214.92314996360045,32.04380816784782,0.026150256395339966,0.029354637212124748,0.51416015625
2022-10-31,10,5,test,31.4,231.43080053027094,180.89507361123992,-150.30772625331392,0.02995799295604229,0.014927220330710898,0.50634765625
2022-10-31,10,10,test,33.6,155.7918935292395,167.96802014428783,40.21118356870759,0.029907356947660446,0.033928475304531205,0.47705078125
2022-11-30,1,1,test,41.9,700.5164402460208,498.3337835568502,-163.97726300880464,0.027079295367002487,0.010681569066122023,0.642578125
2022-11-30,1,5,test,49.8,1145.8326827162252,441.05053881691833,-473.33412831586526,0.027029557153582573,-0.020303855678003954,0.59619140625
2022-11-30,1,10,test,48.4,751.4359012241651,519.2462478830048,-179.9787900648129,0.026027614250779152,0.008029735244297863,0.5869140625
2022-11-30,5,1,test,48.4,288.837570702631,333.0332838432565,77.05890031386213,0.027079295367002487,0.0347851853983887,0.556640625
2022-11-30,5,5,test,42.6,351.45728584999097,288.91917301399144,-109.31448001682644,0.027029557153582573,0.01609810915189993,0.52783203125
2022-11-30,5,10,test,39.9,260.98519941918073,285.99782816468183,48.165240505044295,0.026027614250779152,0.03084413830128358,0.525390625
2022-11-30,10,1,test,35.8,188.46519116254817,216.19502466644573,83.584067258778,0.027079295367002487,0.03543770209288029,0.51513671875
2022-11-30,10,5,test,36.5,238.32004329646693,183.78018806465005,-166.1856613229715,0.027029557153582573,0.010410991021285423,0.482421875
2022-11-30,10,10,test,39.7,187.36223681944497,175.15037753042148,-41.97755045680783,0.026027614250779152,0.02182985920509837,0.49365234375
2022-12-30,1,1,test,34.0,670.0922131447298,431.5898482793005,-192.67331660712708,0.032143499702215195,0.012876168041502486,0.63427734375
2022-12-30,1,5,test,39.6,1477.015567436267,392.87663994790216,-671.754448198009,0.03285631164908409,-0.034319133170716803,0.6025390625
2022-12-30,1,10,test,38.3,749.2399100213593,489.32605807820994,-200.6423879662044,0.03156805783510208,0.01150381903848164,0.59716796875
2022-12-30,5,1,test,37.4,277.86915456024417,300.7216589536783,41.66375213076417,0.032143499702215195,0.03630987491529161,0.572265625
2022-12-30,5,5,test,33.9,402.98683844397823,259.2961084976885,-249.1928393398302,0.03285631164908409,0.007937027715101071,0.544921875
2022-12-30,5,10,test,33.0,286.74118300613674,256.6095567171625,-58.79327274258911,0.03156805783510208,0.02568873056084317,0.49853515625
2022-12-30,10,1,test,30.6,199.2447374539433,200.30013856468986,3.081410385603403,0.032143499702215195,0.032451640740775535,0.51220703125
2022-12-30,10,5,test,31.4,274.57694659491216,170.76785940434,-310.8661229069775,0.03285631164908409,0.0017696993583863375,0.50390625
2022-12-30,10,10,test,33.6,157.31220921704792,158.50136011329786,4.136603096420513,0.03156805783510208,0.03198171814474413,0.48876953125
2023-01-31,1,1,test,28.699999999999996,734.6258716770187,441.63591479115945,-234.49545000062506,0.03312859684228897,0.009679051842226467,0.64453125
2023-01-31,1,5,test,35.7,1489.1487158018138,430.04088890799693,-649.6219245311298,0.029722031205892563,-0.03524016124722042,0.6103515625
2023-01-31,1,10,test,35.5,743.2180581209865,498.72014543024807,-193.5030750686987,0.028444629162549973,0.009094321655680103,0.5927734375
