model,label,date,expiry,tenor,sigma_mkt,sigma_mod,err_bp,path_frac
stable,Stable (dim4),2021-07-30,10,1,194.9,336.4,141.5,1.0
stable,Stable (dim4),2021-07-30,10,5,205.8,256.1,50.3,1.0
stable,Stable (dim4),2021-07-30,10,10,193.9,202.5,8.6,1.0
stable,Stable (dim4),2021-08-31,5,10,243.2,329.4,86.2,1.0
stable,Stable (dim4),2021-08-31,10,5,173.4,254.3,80.9,1.0
stable,Stable (dim4),2021-09-30,1,10,188.4,605.5,417.1,1.0
stable,Stable (dim4),2021-09-30,5,5,170.9,398.5,227.6,1.0
stable,Stable (dim4),2021-09-30,5,10,94.0,323.6,229.6,1.0
stable,Stable (dim4),2021-09-30,10,1,106.8,314.9,208.1,1.0
stable,Stable (dim4),2021-09-30,10,5,83.0,256.2,173.2,1.0
stable,Stable (dim4),2021-09-30,10,10,86.2,202.6,116.4,1.0
stable,Stable (dim4),2021-10-29,1,10,194.7,602.3,407.6,1.0
stable,Stable (dim4),2021-10-29,5,5,218.6,378.0,159.4,1.0
stable,Stable (dim4),2021-10-29,5,10,318.9,320.8,1.9,1.0
stable,Stable (dim4),2021-10-29,10,1,178.5,314.5,136.0,1.0
stable,Stable (dim4),2021-10-29,10,5,208.0,254.2,46.2,1.0
stable,Stable (dim4),2021-10-29,10,10,180.9,201.4,20.5,1.0
stable,Stable (dim4),2021-11-30,1,10,608.4,620.8,12.4,1.0
stable,Stable (dim4),2021-11-30,5,10,269.9,326.4,56.5,1.0
stable,Stable (dim4),2021-11-30,10,1,177.0,316.3,139.3,1.0
stable,Stable (dim4),2021-11-30,10,5,194.9,256.3,61.4,1.0
stable,Stable (dim4),2021-12-31,1,10,161.8,593.4,431.6,1.0
stable,Stable (dim4),2021-12-31,5,5,188.6,404.7,216.1,1.0
stable,Stable (dim4),2021-12-31,5,10,102.1,325.6,223.5,1.0
stable,Stable (dim4),2021-12-31,10,1,110.6,327.6,217.0,1.0
stable,Stable (dim4),2021-12-31,10,5,99.1,245.4,146.3,1.0
stable,Stable (dim4),2021-12-31,10,10,114.3,205.0,90.7,1.0
stable,Stable (dim4),2022-01-31,1,5,186.9,615.2,428.3,1.0
stable,Stable (dim4),2022-01-31,1,10,115.3,593.9,478.6,1.0
stable,Stable (dim4),2022-01-31,5,5,133.5,392.9,259.4,1.0
stable,Stable (dim4),2022-01-31,5,10,94.7,312.0,217.3,1.0
stable,Stable (dim4),2022-01-31,10,1,111.6,312.9,201.3,1.0
stable,Stable (dim4),2022-01-31,10,5,101.2,248.1,146.9,1.0
stable,Stable (dim4),2022-01-31,10,10,141.7,206.8,65.1,1.0
stable,Stable (dim4),2022-02-28,1,1,243.8,806.6,562.8,1.0
stable,Stable (dim4),2022-02-28,1,5,107.7,573.3,465.6,1.0
stable,Stable (dim4),2022-02-28,1,10,75.2,586.6,511.4,1.0
stable,Stable (dim4),2022-02-28,5,1,122.4,489.6,367.2,1.0
stable,Stable (dim4),2022-02-28,5,5,72.6,372.4,299.8,1.0
stable,Stable (dim4),2022-02-28,5,10,61.9,304.5,242.6,1.0
stable,Stable (dim4),2022-02-28,10,1,62.7,319.3,256.6,1.0
stable,Stable (dim4),2022-02-28,10,5,62.4,243.1,180.7,1.0
stable,Stable (dim4),2022-02-28,10,10,71.0,193.7,122.7,1.0
stable,Stable (dim4),2022-03-31,1,1,105.9,776.1,670.2,1.0
stable,Stable (dim4),2022-03-31,1,5,82.4,543.5,461.1,1.0
