date,expiry,tenor,sigma_mkt,sigma_mod_s1,sigma_mod_scal,err_s1_bp,err_cal_bp
2013-11-29,1,5,49.0,550.0,123.5,501.0,74.5
2013-11-29,1,10,32.2,491.6,88.6,459.4,56.4
2013-11-29,5,1,39.0,468.6,207.6,429.6,168.6
2013-11-29,5,5,28.9,339.1,121.4,310.2,92.5
2013-11-29,5,10,25.5,280.3,94.0,254.8,68.5
2013-11-29,10,1,23.5,293.3,140.2,269.8,116.7
2013-11-29,10,5,22.1,228.4,98.9,206.3,76.8
2013-11-29,10,10,22.6,172.4,81.5,149.8,58.9
2013-12-31,1,1,87.0,750.4,285.5,663.4,198.5
2013-12-31,1,5,43.9,526.1,122.8,482.2,78.9
2013-12-31,1,10,29.8,466.5,91.2,436.7,61.4
2013-12-31,5,1,37.0,450.4,197.2,413.4,160.2
2013-12-31,5,5,28.1,321.3,117.7,293.2,89.6
2013-12-31,5,10,25.0,271.7,92.9,246.7,67.9
2013-12-31,10,1,23.2,283.0,147.4,259.8,124.2
2013-12-31,10,5,22.0,203.0,88.5,181.0,66.5
2013-12-31,10,10,22.4,167.8,70.0,145.4,47.6
2014-01-31,1,1,107.6,712.7,276.3,605.1,168.7
2014-01-31,1,5,48.1,526.6,132.1,478.5,84.0
2014-01-31,1,10,31.4,502.6,101.9,471.2,70.5
2014-01-31,5,1,40.1,456.1,203.9,416.0,163.8
2014-01-31,5,5,29.0,352.6,128.8,323.6,99.8
2014-01-31,5,10,26.0,278.3,98.4,252.3,72.4
2014-01-31,10,1,24.0,286.8,139.9,262.8,115.9
2014-01-31,10,5,22.6,217.4,101.3,194.8,78.7
2014-01-31,10,10,23.2,169.1,78.9,145.9,55.7
2014-02-28,1,1,89.1,723.2,289.1,634.1,200.0
2014-02-28,1,5,46.5,573.0,139.5,526.5,93.0
2014-02-28,1,10,31.1,489.1,104.5,458.0,73.4
2014-02-28,5,1,40.0,458.7,196.9,418.7,156.9
2014-02-28,5,5,29.4,343.4,126.5,314.0,97.1
2014-02-28,5,10,25.6,281.2,91.6,255.6,66.0
2014-02-28,10,1,23.5,289.4,148.7,265.9,125.2
2014-02-28,10,5,22.4,216.2,100.9,193.8,78.5
2014-02-28,10,10,22.9,173.0,79.3,150.1,56.4
2014-03-31,1,1,86.4,710.6,277.0,624.2,190.6
2014-03-31,1,5,47.8,560.2,140.1,512.4,92.3
2014-03-31,1,10,31.5,484.5,104.9,453.0,73.4
2014-03-31,5,1,42.3,458.4,197.9,416.1,155.6
2014-03-31,5,5,30.3,347.5,125.3,317.2,95.0
2014-03-31,5,10,26.3,286.3,98.2,260.0,71.9
2014-03-31,10,1,24.3,277.7,136.8,253.4,112.5
2014-03-31,10,5,22.6,223.6,95.9,201.0,73.3
2014-03-31,10,10,22.9,177.7,77.8,154.8,54.9
2014-04-30,1,1,93.5,716.1,289.2,622.6,195.7
2014-04-30,1,5,47.5,581.2,135.0,533.7,87.5
2014-04-30,1,10,31.7,522.1,111.3,490.4,79.6
2014-04-30,5,1,42.6,446.8,193.1,404.2,150.5
2014-04-30,5,5,30.5,349.7,129.5,319.2,99.0
2014-04-30,5,10,26.6,276.1,101.7,249.5,75.1
2014-04-30,10,1,25.3,291.5,137.9,266.2,112.6
2014-04-30,10,5,23.3,221.6,95.7,198.3,72.4
2014-04-30,10,10,23.5,177.0,81.3,153.5,57.8
2014-05-30,1,1,105.5,682.4,295.1,576.9,189.6
2014-05-30,1,5,48.0,579.3,142.7,531.3,94.7
2014-05-30,1,10,30.7,516.0,117.8,485.3,87.1
2014-05-30,5,1,43.3,454.2,201.1,410.9,157.8
2014-05-30,5,5,30.3,360.7,135.9,330.4,105.6
2014-05-30,5,10,26.6,290.6,106.3,264.0,79.7
2014-05-30,10,1,25.3,298.5,143.9,273.2,118.6
2014-05-30,10,5,23.2,225.3,95.6,202.1,72.4
2014-05-30,10,10,23.2,178.7,84.0,155.5,60.8
2014-06-30,1,1,85.8,760.0,262.6,674.2,176.8
