as_of_date,ccy,z_1,z_2,tau1,fd_short,r_tilde,error,abs_error
2014-10-31,GBP,-0.15954262018203735,-0.09224480390548706,0.0833333358168602,0.022262945771217346,0.024349505081772804,-0.002086559310555458,0.002086559310555458
2014-11-28,GBP,-0.13806205987930298,-0.07887529581785202,0.0833333358168602,0.019543100148439407,0.021372897550463676,-0.001829797402024269,0.001829797402024269
2014-12-31,GBP,-0.13019046187400818,-0.07730881869792938,0.0833333358168602,0.01858600042760372,0.020215122029185295,-0.0016291216015815735,0.0016291216015815735
2015-01-30,GBP,-0.10603880137205124,-0.06750907003879547,0.0833333358168602,0.01552250050008297,0.01670321449637413,-0.0011807139962911606,0.0011807139962911606
2015-02-27,GBP,-0.13252151012420654,-0.08205628395080566,0.0833333358168602,0.018935590982437134,0.020489219576120377,-0.0015536285936832428,0.0015536285936832428
2015-03-31,GBP,-0.11845798045396805,-0.0732259452342987,0.0833333358168602,0.017116110771894455,0.01850520633161068,-0.0013890955597162247,0.0013890955597162247
2015-04-30,GBP,-0.13276521861553192,-0.08212590962648392,0.0833333358168602,0.01896568015217781,0.020524775609374046,-0.0015590954571962357,0.0015590954571962357
2015-05-29,GBP,-0.13186773657798767,-0.08082398772239685,0.0833333358168602,0.018838880583643913,0.020410774275660515,-0.0015718936920166016,0.0015718936920166016
2015-06-30,GBP,-0.14628513157367706,-0.09117144346237183,0.0833333358168602,0.02070734277367592,0.0224034171551466,-0.0016960743814706802,0.0016960743814706802
2015-07-31,GBP,-0.1410367488861084,-0.09040653705596924,0.0833333358168602,0.02007756382226944,0.021632151678204536,-0.0015545878559350967,0.0015545878559350967
2015-08-31,GBP,-0.1386502981185913,-0.08697907626628876,0.0833333358168602,0.019740119576454163,0.021330151706933975,-0.0015900321304798126,0.0015900321304798126
2015-09-30,GBP,-0.12663887441158295,-0.07821136713027954,0.0833333358168602,0.018174098804593086,0.01966419443488121,-0.001490095630288124,0.001490095630288124
2015-10-30,GBP,-0.13236743211746216,-0.08148074150085449,0.0833333358168602,0.018908368423581123,0.020475365221500397,-0.0015669967979192734,0.0015669967979192734
2015-11-30,GBP,-0.12550905346870422,-0.07768674194812775,0.0833333358168602,0.018030831590294838,0.01950184255838394,-0.0014710109680891037,0.0014710109680891037
2015-12-31,GBP,-0.13883404433727264,-0.08838924765586853,0.0833333358168602,0.019784538075327873,0.021334879100322723,-0.0015503410249948502,0.0015503410249948502
