as_of_date,ccy,z_1,z_2
2023-11-30,CAD,0.14090069,-0.14389926
2023-12-29,CAD,0.13098218,-0.12614
2024-01-31,CAD,0.13648425,-0.13651398
2024-02-29,CAD,0.1405023,-0.142592
2010-01-29,DKK,0.035683088,-0.14577314
2010-02-26,DKK,0.029508706,-0.14313643
2010-03-31,DKK,0.027572656,-0.14157052
2010-04-30,DKK,0.026904384,-0.13683733
2010-05-31,DKK,0.023995802,-0.124082625
2010-06-30,DKK,0.024047917,-0.12225267
2010-07-30,DKK,0.023812376,-0.12702034
2010-08-31,DKK,0.02734959,-0.10017794
2010-09-30,DKK,0.032405972,-0.11048351
2010-10-29,DKK,0.035402253,-0.11709855
2010-11-30,DKK,0.03132905,-0.1267348
2010-12-31,DKK,0.031458046,-0.13760422
2011-01-31,DKK,0.039977644,-0.14149044
2011-02-28,DKK,0.041635346,-0.14098464
2011-03-31,DKK,0.050629765,-0.14867672
2011-04-29,DKK,0.049311124,-0.14615762
2011-05-31,DKK,0.043185063,-0.13815995
2011-06-30,DKK,0.042937204,-0.14352274
2011-08-31,DKK,0.02541989,-0.12039942
2011-09-30,DKK,0.023933075,-0.10060889
2011-10-31,DKK,0.02493318,-0.10562859
2011-11-30,DKK,0.018660221,-0.100945055
2011-12-30,DKK,0.012649815,-0.08965897
2012-01-31,DKK,0.011141017,-0.090380765
2012-02-29,DKK,0.012701664,-0.094611086
2012-03-30,DKK,0.012439177,-0.09628092
2012-04-30,DKK,0.007753202,-0.094167836
2012-05-31,DKK,0.009058703,-0.0667541
2012-06-29,DKK,-0.00024813483,-0.08233267
2012-07-31,DKK,-0.009425562,-0.076915875
2012-08-31,DKK,-0.008366855,-0.076864645
2012-09-28,DKK,-0.0073886723,-0.0815868
2012-10-31,DKK,-0.005318822,-0.083342224
2012-11-30,DKK,-0.011396171,-0.07915277
2012-12-31,DKK,-0.011408867,-0.076824255
2013-01-31,DKK,0.00033938081,-0.087978035
2013-02-28,DKK,-0.008887773,-0.084369674
2013-03-29,DKK,-0.00891326,-0.081154354
2013-04-30,DKK,-0.009718826,-0.07390871
2013-05-31,DKK,-0.010719996,-0.08412401
2013-06-28,DKK,-0.0045766872,-0.092619605
2013-07-31,DKK,-0.006871444,-0.09269118
2013-08-30,DKK,-0.0031499385,-0.101468764
2013-09-30,DKK,-0.0053443485,-0.09865383
2013-10-31,DKK,-0.0089056045,-0.09544093
2013-11-29,DKK,-0.013836311,-0.09587582
2013-12-31,DKK,-0.010734584,-0.102029525
2014-01-31,DKK,-0.011977823,-0.09449521
2014-02-28,DKK,-0.011427814,-0.093320034
2014-03-31,DKK,-0.010732924,-0.09150976
2014-04-30,DKK,-0.011042801,-0.08837843
2014-05-30,DKK,-0.013445926,-0.08382185
2014-06-30,DKK,-0.012015717,-0.08155972
2014-07-31,DKK,-0.009166873,-0.07847949
2014-08-29,DKK,-0.0075297495,-0.067723945
2014-09-30,DKK,-0.012936362,-0.07095649
2014-10-31,DKK,-0.010584536,-0.06696628
2014-11-28,DKK,-0.007833434,-0.060205698
2014-12-31,DKK,-0.0067274007,-0.054670613
2015-01-30,DKK,-0.015015185,-0.042097
2015-02-27,DKK,-0.015729055,-0.04149922
2015-03-31,DKK,-0.008606527,-0.035695475
2015-04-30,DKK,-0.013193187,-0.042353246
2015-05-29,DKK,-0.014586512,-0.05212793
2015-06-30,DKK,-0.018728998,-0.0672596
2015-07-31,DKK,-0.015366928,-0.06105005
2015-08-31,DKK,-0.014731389,-0.065845616
2015-09-30,DKK,-0.014530116,-0.061693292
2015-10-30,DKK,-0.018356653,-0.06008291
2015-11-30,DKK,-0.023348423,-0.058417045
2015-12-31,DKK,-0.019828938,-0.06364331
2016-01-29,DKK,-0.01914308,-0.05201326
2016-02-29,DKK,-0.017161243,-0.043710157
2016-03-31,DKK,-0.016478647,-0.045267593
2016-04-29,DKK,-0.01972148,-0.051849607
2016-06-30,DKK,-0.018048484,-0.035497047
2016-07-29,DKK,-0.017291047,-0.03227502
2016-08-31,DKK,-0.017231572,-0.032725714
2016-09-30,DKK,-0.017486379,-0.032300383
2016-10-31,DKK,-0.018105322,-0.040576577
2016-11-30,DKK,-0.020780975,-0.04828257
2016-12-30,DKK,-0.021518052,-0.048015557
2017-01-31,DKK,-0.023904145,-0.05509341
2017-02-28,DKK,-0.024759324,-0.04858709
2017-03-31,DKK,-0.023473436,-0.052224465
2017-04-28,DKK,-0.023379454,-0.053017255
2017-05-31,DKK,-0.024696533,-0.053414326
2017-06-30,DKK,-0.023400517,-0.05687128
2017-07-31,DKK,-0.025436588,-0.059016325
2017-08-31,DKK,-0.026629442,-0.05252551
2017-09-29,DKK,-0.027574757,-0.056395985
2017-10-31,DKK,-0.027920246,-0.054100167
2017-11-30,DKK,-0.026247399,-0.05246043
2017-12-29,DKK,-0.02506639,-0.053092074
2018-01-31,DKK,-0.0235189,-0.056538813
2018-02-28,DKK,-0.024473837,-0.059100766
2018-03-30,DKK,-0.024065945,-0.054293573
2018-04-30,DKK,-0.023837278,-0.05573136
2018-05-31,DKK,-0.023974545,-0.052050214
2018-06-29,DKK,-0.025113652,-0.051175866
2018-07-31,DKK,-0.024359347,-0.053138703
2018-08-31,DKK,-0.024002457,-0.050895646
2018-09-28,DKK,-0.022428334,-0.053846616
2018-10-31,DKK,-0.023248803,-0.052953303
2018-11-30,DKK,-0.02412427,-0.050975863
2018-12-31,DKK,-0.023563165,-0.048852097
2019-01-31,DKK,-0.022614352,-0.04299543
2019-02-28,DKK,-0.022938637,-0.04388152
2019-03-29,DKK,-0.02241598,-0.03497562
2019-04-30,DKK,-0.02358672,-0.036642857
2019-05-31,DKK,-0.024173347,-0.030487042
2019-06-28,DKK,-0.025270801,-0.021973114
2019-07-31,DKK,-0.024841167,-0.016447851
2019-08-30,DKK,-0.02282617,-0.0014538704
2019-09-30,DKK,-0.021212308,-0.0063881893
2019-10-31,DKK,-0.020197267,-0.013705972
2019-11-29,DKK,-0.018488249,-0.015020118
2019-12-31,DKK,-0.018330008,-0.021356482
2020-01-31,DKK,-0.018075796,-0.010536619
2020-02-28,DKK,-0.017640816,-0.0049898066
2020-03-31,DKK,-0.0087797325,-0.013446489
2020-04-30,DKK,-0.008715789,-0.0054907473
2020-05-29,DKK,-0.00836674,-0.0069723385
2020-06-30,DKK,-0.0101363165,-0.0063366503
2020-07-31,DKK,-0.010064633,-0.004063342
2020-08-31,DKK,-0.012183667,-0.009181554
2020-09-30,DKK,-0.011572362,-0.0047744345
2020-10-30,DKK,-0.012983424,-0.0033915474
2020-11-30,DKK,-0.011490471,-0.004496842
2020-12-31,DKK,-0.011078215,-0.004435062
2021-01-29,DKK,-0.013404479,-0.008762284
2021-02-26,DKK,-0.013795426,-0.01856768
2021-03-31,DKK,-0.017497702,-0.021438215
2021-04-30,DKK,-0.018150195,-0.024949001
2021-05-31,DKK,-0.017342195,-0.024968108
2021-06-30,DKK,-0.016293932,-0.024003657
2021-07-30,DKK,-0.015106007,-0.016949747
2021-08-31,DKK,-0.014884196,-0.01801293
2021-09-30,DKK,-0.016203409,-0.024544194
2021-10-29,DKK,-0.007915845,-0.023025604
2021-11-30,DKK,-0.011775101,-0.018389119
2021-12-31,DKK,-0.012194453,-0.024828495
2022-01-31,DKK,-0.0060849446,-0.028384684
2022-02-28,DKK,-0.003761651,-0.042224538
2022-03-31,DKK,0.01082749,-0.053542763
2022-04-29,DKK,0.01977865,-0.07321239
2022-05-31,DKK,0.022961287,-0.08029899
2022-06-30,DKK,0.032031473,-0.09326994
2022-07-29,DKK,0.030637011,-0.07242605
2022-08-31,DKK,0.06612441,-0.095974475
2022-09-30,DKK,0.087877154,-0.11579994
2022-10-31,DKK,0.08785168,-0.11294379
2022-11-30,DKK,0.0910592,-0.096544616
2022-12-30,DKK,0.10830032,-0.11346247
2023-01-31,DKK,0.106400855,-0.10468007
2023-02-28,DKK,0.119186975,-0.1172566
2023-03-31,DKK,0.11195095,-0.110881634
2023-04-28,DKK,0.111131094,-0.11048525
2023-05-31,DKK,0.112539105,-0.11012166
2023-06-30,DKK,0.12752403,-0.109754786
2023-07-31,DKK,0.120235756,-0.11408002
2023-08-31,DKK,0.117455445,-0.11409096
2023-09-29,DKK,0.11994485,-0.12684019
2023-10-31,DKK,0.111292705,-0.12808195
2023-11-30,DKK,0.106943354,-0.11485691
2023-12-29,DKK,0.0929807,-0.09734079
2024-01-31,DKK,0.094024956,-0.10013962
2024-02-29,DKK,0.10573017,-0.10516973
2010-01-29,EUR,0.014329791,-0.13801913
2010-02-26,EUR,0.008433597,-0.13548167
2010-03-31,EUR,0.007983232,-0.1338189
2010-04-30,EUR,0.009362547,-0.12955952
2010-05-31,EUR,0.010418784,-0.11844241
2010-06-30,EUR,0.0107185505,-0.11793361
2010-07-30,EUR,0.0112959035,-0.12162978
2010-08-31,EUR,0.014766546,-0.09460475
2010-09-30,EUR,0.019639645,-0.10473706
2010-10-29,EUR,0.023224097,-0.11134469
2010-11-30,EUR,0.01890421,-0.121479
2010-12-31,EUR,0.016484207,-0.13128355
2011-01-31,EUR,0.031251684,-0.13675113
2011-02-28,EUR,0.034306083,-0.13539381
2011-03-31,EUR,0.041942365,-0.14387693
2011-04-29,EUR,0.04340502,-0.14001678
2011-05-31,EUR,0.038514283,-0.13362168
2011-06-30,EUR,0.03794488,-0.13792937
2011-07-29,EUR,0.0326572,-0.12595415
2011-08-31,EUR,0.022864196,-0.11656225
2011-09-30,EUR,0.026853586,-0.10060021
2011-10-31,EUR,0.025223218,-0.10043584
2011-11-30,EUR,0.022050593,-0.107685864
2011-12-30,EUR,0.019967219,-0.09501156
2012-01-31,EUR,0.013139682,-0.09108971
2012-02-29,EUR,0.011228189,-0.09220259
2012-03-30,EUR,0.008762213,-0.09407819
2012-04-30,EUR,0.0032836746,-0.09104171
2012-05-31,EUR,0.009923019,-0.068316326
2012-06-29,EUR,0.0043230765,-0.0816676
2012-07-31,EUR,-0.0056925477,-0.07643394
2012-08-31,EUR,-0.010071264,-0.07514603
2012-09-28,EUR,-0.014137175,-0.07883353
2012-10-31,EUR,-0.014319205,-0.07981118
2012-11-30,EUR,-0.016463038,-0.07699859
2012-12-31,EUR,-0.017243195,-0.0739498
2013-01-31,EUR,-0.0066208374,-0.08353007
2013-02-28,EUR,-0.016602814,-0.08048515
2013-03-29,EUR,-0.013309728,-0.07742403
2013-04-30,EUR,-0.015569559,-0.07055546
2013-05-31,EUR,-0.01658558,-0.07998041
2013-06-28,EUR,-0.010680108,-0.086886644
2013-07-31,EUR,-0.012714004,-0.08604134
2013-08-30,EUR,-0.0120219,-0.094708234
2013-09-30,EUR,-0.013908604,-0.09025288
2013-10-31,EUR,-0.016716776,-0.08863582
2013-11-29,EUR,-0.019137166,-0.08882253
2013-12-31,EUR,-0.01572389,-0.09432491
