as_of_date,ccy,z_1,z_2
2022-05-31,DKK,0.03955494,-0.005174575
2022-06-30,DKK,0.045078352,-0.008552112
2022-07-29,DKK,0.034115005,-0.009427652
2022-08-31,DKK,0.042690493,-0.022855373
2022-09-30,DKK,0.050426416,-0.03114176
2022-10-31,DKK,0.048914976,-0.03126681
2022-11-30,DKK,0.039896633,-0.03371445
2022-12-30,DKK,0.04690169,-0.03992142
2023-01-31,DKK,0.042400874,-0.039762955
2023-02-28,DKK,0.047792856,-0.044173922
2023-03-31,DKK,0.045027953,-0.041687034
2023-04-28,DKK,0.04480114,-0.041517567
2023-05-31,DKK,0.044429034,-0.042104464
2023-06-30,DKK,0.042857133,-0.048112754
2023-07-31,DKK,0.04571001,-0.045053612
2023-08-31,DKK,0.0459555,-0.043950904
2023-09-29,DKK,0.052322272,-0.044307567
2023-10-31,DKK,0.053781245,-0.04077317
2023-11-30,DKK,0.04736426,-0.039634462
2023-12-29,DKK,0.039543074,-0.034933954
2024-01-31,DKK,0.04094744,-0.03515058
2024-02-29,DKK,0.04246259,-0.03959233
2010-01-29,EUR,0.07031788,0.00145938
2010-02-26,EUR,0.06941384,0.0035057603
2010-03-31,EUR,0.06862425,0.0036178662
2010-04-30,EUR,0.0661496,0.0026633053
2010-05-31,EUR,0.06016981,0.0014701568
2010-06-30,EUR,0.05984134,0.0012744784
2010-07-30,EUR,0.061789356,0.0013658473
2010-08-31,EUR,0.047251325,-0.0016498837
2010-09-30,EUR,0.05212742,-0.0030047698
2010-10-29,EUR,0.05509856,-0.0042570643
2010-11-30,EUR,0.060703795,-0.0020886983
2010-12-31,EUR,0.066115126,-0.00035166295
2011-01-31,EUR,0.06779567,-0.0057176547
2011-02-28,EUR,0.06679517,-0.007083731
2011-03-31,EUR,0.07046323,-0.009649966
2011-04-29,EUR,0.06823037,-0.010557219
2011-05-31,EUR,0.06524001,-0.009138638
2011-06-30,EUR,0.06760167,-0.008587544
2011-07-29,EUR,0.061604343,-0.007498995
2011-08-31,EUR,0.05768189,-0.0040002423
2011-09-30,EUR,0.04890992,-0.0065874374
2011-10-31,EUR,0.048947662,-0.005921112
2011-11-30,EUR,0.052990116,-0.0043553994
2011-12-30,EUR,0.046623085,-0.0042224796
2012-01-31,EUR,0.04532602,-0.0016124808
2012-02-29,EUR,0.04621978,-0.0005929146
2012-03-30,EUR,0.047561534,0.000674641
2012-04-30,EUR,0.04651127,0.0026843161
2012-05-31,EUR,0.034106404,-0.0011048771
2012-06-29,EUR,0.04169089,0.0019451355
2012-07-31,EUR,0.04008885,0.0058492655
2012-08-31,EUR,0.039888754,0.00761134
2012-09-28,EUR,0.04233375,0.009631297
2012-10-31,EUR,0.042856235,0.0097515425
2012-11-30,EUR,0.0416363,0.01051168
2012-12-31,EUR,0.040161982,0.010712219
2013-01-31,EUR,0.04414639,0.0070198416
2013-02-28,EUR,0.043496944,0.010812994
2013-03-29,EUR,0.041625768,0.009376208
2013-04-30,EUR,0.038309563,0.009952915
2013-05-31,EUR,0.04330069,0.010896067
2013-06-28,EUR,0.04623157,0.008788342
2013-07-31,EUR,0.04600204,0.009534012
2013-08-30,EUR,0.05043747,0.009789668
2013-09-30,EUR,0.048279963,0.010248544
2013-10-31,EUR,0.04776169,0.011330328
