date,expiry,tenor,split,sigma_mkt,sigma_cal,s_cell,path_frac,sigma_mod1,err_s1_bp,err_cal_bp
2013-01-31,10,10,train,23.1,91.0,0.18302,1.0,167.0,143.9,67.9
2013-02-28,1,1,train,114.3,276.7,0.13841,1.0,749.2,634.9000000000001,162.39999999999998
2013-02-28,1,5,train,51.8,134.4,0.15101,1.0,544.2,492.40000000000003,82.60000000000001
2013-02-28,1,10,train,35.9,56.9,0.09815,1.0,518.0,482.1,21.0
2013-02-28,5,1,train,39.5,189.5,0.1419,1.0,460.9,421.4,150.0
2013-02-28,5,5,train,29.1,109.0,0.12419,1.0,353.5,324.4,79.9
2013-02-28,5,10,train,26.3,81.5,0.1274,1.0,286.4,260.09999999999997,55.2
2013-02-28,10,1,train,23.5,122.0,0.1214,1.0,291.5,268.0,98.5
2013-02-28,10,5,train,21.9,90.2,0.14504,1.0,226.6,204.7,68.30000000000001
2013-02-28,10,10,train,22.9,99.6,0.18302,1.0,177.9,155.0,76.69999999999999
2013-03-29,1,1,train,94.2,256.5,0.13841,1.0,709.9,615.6999999999999,162.3
2013-03-29,1,5,train,51.2,125.6,0.15101,1.0,570.8,519.5999999999999,74.39999999999999
2013-03-29,1,10,train,36.3,58.6,0.09815,1.0,517.0,480.7,22.300000000000004
2013-03-29,5,1,train,43.2,182.1,0.1419,1.0,444.5,401.3,138.89999999999998
2013-03-29,5,5,train,31.2,100.3,0.12419,1.0,349.4,318.2,69.1
2013-03-29,5,10,train,27.7,86.0,0.1274,1.0,274.6,246.90000000000003,58.3
2013-03-29,10,1,train,24.8,128.9,0.1214,1.0,283.8,259.0,104.10000000000001
2013-03-29,10,5,train,23.0,94.9,0.14504,1.0,217.5,194.5,71.9
2013-03-29,10,10,train,23.8,93.9,0.18302,1.0,176.7,152.89999999999998,70.10000000000001
2013-04-30,1,1,train,103.9,271.9,0.13841,1.0,734.7,630.8000000000001,167.99999999999997
2013-04-30,1,5,train,52.9,147.2,0.15101,1.0,591.3,538.4,94.29999999999998
2013-04-30,1,10,train,36.9,64.5,0.09815,1.0,528.6,491.70000000000005,27.6
2013-04-30,5,1,train,47.0,190.8,0.1419,1.0,456.9,409.9,143.8
2013-04-30,5,5,train,33.1,105.7,0.12419,1.0,355.7,322.59999999999997,72.6
2013-04-30,5,10,train,29.0,92.0,0.1274,1.0,293.2,264.2,63.0
2013-04-30,10,1,train,25.8,121.8,0.1214,1.0,296.0,270.2,96.0
2013-04-30,10,5,train,24.0,97.6,0.14504,1.0,226.7,202.7,73.6
2013-04-30,10,10,train,25.0,96.8,0.18302,1.0,175.6,150.6,71.8
2013-05-31,1,1,train,107.4,286.5,0.13841,1.0,752.4,645.0,179.1
2013-05-31,1,5,train,51.7,121.5,0.15101,1.0,564.4,512.6999999999999,69.8
2013-05-31,1,10,train,35.5,51.3,0.09815,1.0,505.4,469.9,15.799999999999997
2013-05-31,5,1,train,40.8,194.4,0.1419,1.0,445.4,404.59999999999997,153.60000000000002
2013-05-31,5,5,train,30.6,105.3,0.12419,1.0,356.5,325.9,74.69999999999999
2013-05-31,5,10,train,27.2,80.9,0.1274,1.0,280.9,253.7,53.7
2013-05-31,10,1,train,23.6,124.2,0.1214,1.0,288.5,264.9,100.6
2013-05-31,10,5,train,22.5,93.2,0.14504,1.0,216.1,193.6,70.7
2013-05-31,10,10,train,23.4,94.6,0.18302,1.0,175.6,152.2,71.19999999999999
2013-06-28,1,1,train,93.2,295.2,0.13841,1.0,697.9,604.6999999999999,202.0
2013-06-28,1,5,train,50.4,123.0,0.15101,1.0,538.4,488.0,72.6
2013-06-28,1,10,train,33.5,43.6,0.09815,1.0,457.2,423.7,10.100000000000001
2013-06-28,5,1,train,37.3,201.9,0.1419,1.0,465.1,427.8,164.60000000000002
2013-06-28,5,5,train,28.6,92.9,0.12419,1.0,325.0,296.4,64.30000000000001
2013-06-28,5,10,train,25.8,80.3,0.1274,1.0,278.4,252.59999999999997,54.5
2013-06-28,10,1,train,24.1,125.7,0.1214,1.0,290.3,266.2,101.6
2013-06-28,10,5,train,22.4,93.5,0.14504,1.0,216.5,194.1,71.1
2013-06-28,10,10,train,23.2,91.0,0.18302,1.0,173.3,150.10000000000002,67.8
2013-07-31,1,1,train,84.1,274.6,0.13841,1.0,714.4,630.3,190.50000000000003
2013-07-31,1,5,train,47.0,124.4,0.15101,1.0,548.0,501.0,77.4
2013-07-31,1,10,train,32.8,51.4,0.09815,1.0,509.7,476.9,18.6
2013-07-31,5,1,train,38.1,187.7,0.1419,1.0,445.3,407.2,149.6
2013-07-31,5,5,train,28.9,93.3,0.12419,1.0,342.4,313.5,64.4
2013-07-31,5,10,train,26.3,75.9,0.1274,1.0,268.7,242.39999999999998,49.60000000000001
2013-07-31,10,1,train,24.1,122.5,0.1214,1.0,288.9,264.79999999999995,98.4
2013-07-31,10,5,train,22.5,95.6,0.14504,1.0,216.4,193.9,73.1
