as_of_date,ccy,z1,z2,z3
2020-09-30,CAD,0.01714961650386698,-0.010808264678482815,-0.019837684523592542
2020-10-30,CAD,0.018193326990780197,-0.012219532554576334,-0.019999355011080355
2020-11-30,CAD,0.018711918283815878,-0.012841109794335871,-0.020014210784588603
2020-12-31,CAD,0.01898591815913109,-0.013692334207967803,-0.019996093948138075
2010-01-29,DKK,0.047073260054654224,-0.0315376980473954,-0.022260277252141074
2010-02-26,DKK,0.04584670070805257,-0.031726277677488944,-0.022419882608159875
2010-03-31,DKK,0.04513640480968191,-0.03128249458965184,-0.022491424220463147
2010-04-30,DKK,0.043661426464268925,-0.03003701372109709,-0.022382527934338696
2010-05-31,DKK,0.04041982776737295,-0.028345778156548602,-0.022074593040163026
2010-06-30,DKK,0.03931829429175858,-0.026761964105586487,-0.021524200345348635
2010-07-30,DKK,0.03918765645144828,-0.02523537501778928,-0.020621719314338965
2010-08-31,DKK,0.033907511950385,-0.022331506410287996,-0.019286912857324204
2010-09-30,DKK,0.03575770729178601,-0.02196993040654078,-0.01794400308583441
2010-10-29,DKK,0.037595742207333194,-0.023383324254643758,-0.016909077776525776
2010-11-30,DKK,0.039675877041294744,-0.026258429714877764,-0.016308466722886373
2010-12-31,DKK,0.04237587336771708,-0.028357715153305308,-0.01575865346749447
2011-01-31,DKK,0.04417717584069093,-0.02840985758303835,-0.015191441876812189
2011-02-28,DKK,0.04431613580947244,-0.028028773207454068,-0.015035800907396047
2011-03-31,DKK,0.04621677284757957,-0.027043506764718922,-0.015352646196359811
2011-04-29,DKK,0.0455279280690816,-0.026285323964396437,-0.016223795883192428
2011-05-31,DKK,0.043430905282891334,-0.02575394741559218,-0.017580955152998217
2011-06-30,DKK,0.04408698110315321,-0.024976497016586666,-0.019039987754958985
2011-08-31,DKK,0.037947187163194354,-0.024106352786819468,-0.020686620295004766
2011-09-30,DKK,0.033806278887659455,-0.022072541626664454,-0.021824672755108143
2011-10-31,DKK,0.03454611762531676,-0.021180583589318642,-0.022847379974335794
2011-11-30,DKK,0.033084474552380186,-0.021081128604401405,-0.024022945427295238
2011-12-30,DKK,0.030518385888710874,-0.020593300381704416,-0.02516485452489988
2012-01-31,DKK,0.030517884271739393,-0.020451877105432205,-0.026189764114452285
2012-02-29,DKK,0.03165737817737667,-0.020453024532478076,-0.026986276177081048
2012-03-30,DKK,0.0319974637497595,-0.020323374092409627,-0.027726992856428767
2012-04-30,DKK,0.03082207135105194,-0.019735194060693035,-0.028371341341250734
2012-05-31,DKK,0.026097987125010432,-0.018190221600034404,-0.028632155460034267
2012-06-29,DKK,0.02821583722727855,-0.02025541852552551,-0.029367378138589542
2012-07-31,DKK,0.027031313181590248,-0.021810548169087028,-0.03015855930797692
2012-08-31,DKK,0.027497419387024713,-0.02233134464740084,-0.030637046032401246
