date,expiry,tenor,split,sigma_mkt,sigma_drift
2016-06-30,1,5,train,0.0,40.7
2016-06-30,1,10,train,124.5,33.1
2016-06-30,5,1,train,0.0,24.9
2016-06-30,5,5,train,95.3,43.2
2016-06-30,5,10,train,73.4,17.9
2016-06-30,10,1,train,66.0,18.1
2016-06-30,10,5,train,61.1,6.2
2016-06-30,10,10,train,66.4,0.5
2016-07-29,1,1,train,0.0,0.0
2016-07-29,1,5,train,0.0,58.5
2016-07-29,1,10,train,152.2,55.6
2016-07-29,5,1,train,0.0,26.9
2016-07-29,5,5,train,119.2,47.6
2016-07-29,5,10,train,82.7,25.7
2016-07-29,10,1,train,75.7,18.1
2016-07-29,10,5,train,68.1,8.5
2016-07-29,10,10,train,74.7,1.1
2016-08-31,1,1,train,0.0,0.0
2016-08-31,1,5,train,0.0,56.1
2016-08-31,1,10,train,141.8,51.6
2016-08-31,5,1,train,0.0,26.0
2016-08-31,5,5,train,115.4,46.7
2016-08-31,5,10,train,81.1,24.3
2016-08-31,10,1,train,76.4,18.3
2016-08-31,10,5,train,66.4,7.8
2016-08-31,10,10,train,69.9,1.0
2016-09-30,1,1,train,0.0,0.0
2016-09-30,1,5,train,0.0,56.7
2016-09-30,1,10,train,145.3,52.5
2016-09-30,5,1,train,0.0,27.9
2016-09-30,5,5,train,110.0,46.8
2016-09-30,5,10,train,77.2,23.0
2016-09-30,10,1,train,71.5,19.0
2016-09-30,10,5,train,63.0,8.1
2016-09-30,10,10,train,66.4,0.9
2016-10-31,1,1,train,0.0,0.0
2016-10-31,1,5,train,0.0,27.9
2016-10-31,1,10,train,87.2,17.0
2016-10-31,5,1,train,0.0,21.3
2016-10-31,5,5,train,68.0,38.8
2016-10-31,5,10,train,56.5,14.2
2016-10-31,10,1,train,53.5,17.7
2016-10-31,10,5,train,48.9,4.7
2016-10-31,10,10,train,50.6,0.3
2016-11-30,1,1,train,0.0,0.0
